id,t,lwage,exp,exp2,wks,ed
1,1,5.56068,3,9,32,9
1,2,5.72031,4,16,43,9
1,3,5.99645,5,25,40,9
1,4,5.99645,6,36,39,9
1,5,6.06146,7,49,42,9
1,6,6.17379,8,64,35,9
1,7,6.24417,9,81,32,9
2,1,6.16331,30,900,34,11
2,2,6.21461,31,961,27,11
2,3,6.2634,32,1024,33,11
2,4,6.54391,33,1089,30,11
2,5,6.69703,34,1156,30,11
2,6,6.79122,35,1225,37,11
2,7,6.81564,36,1296,30,11
3,1,5.65249,6,36,50,12
3,2,6.43615,7,49,51,12
3,3,6.54822,8,64,50,12
3,4,6.60259,9,81,52,12
3,5,6.6958,10,100,52,12
3,6,6.77878,11,121,52,12
3,7,6.86066,12,144,46,12
4,1,6.15698,31,961,52,10
4,2,6.23832,32,1024,46,10
4,3,6.30079,33,1089,46,10
4,4,6.35957,34,1156,49,10
4,5,6.46925,35,1225,44,10
4,6,6.56244,36,1296,52,10
4,7,6.62141,37,1369,46,10
5,1,6.43775,10,100,50,16
5,2,6.62007,11,121,46,16
5,3,6.63332,12,144,40,16
5,4,6.98286,13,169,50,16
5,5,7.04752,14,196,47,16
5,6,7.31322,15,225,47,16
5,7,7.29574,16,256,49,16
6,1,6.90575,26,676,44,12
6,2,6.90575,27,729,47,12
6,3,6.90776,28,784,47,12
6,4,7.00307,29,841,47,12
6,5,7.06902,30,900,44,12
6,6,7.52023,31,961,45,12
6,7,7.33889,32,1024,47,12
7,1,6.1334,15,225,46,12
7,2,6.17379,16,256,48,12
7,3,6.21261,17,289,49,12
7,4,6.31355,18,324,46,12
7,5,6.37502,19,361,47,12
7,6,6.44572,20,400,47,12
7,7,6.52209,21,441,48,12
8,1,6.3315,23,529,51,10
8,2,6.40357,24,576,50,10
8,3,6.54391,25,625,50,10
8,4,6.56244,26,676,50,10
8,5,6.59167,27,729,44,10
8,6,6.81783,28,784,51,10
8,7,6.89163,29,841,51,10
9,1,6.55108,3,9,50,16
9,2,6.55108,4,16,48,16
9,3,6.80239,5,25,50,16
9,4,6.90776,6,36,48,16
9,5,7.09008,7,49,48,16
9,6,7.17012,8,64,44,16
9,7,7.20786,9,81,48,16
10,1,6.39693,3,9,49,16
10,2,6.43775,4,16,47,16
10,3,6.43775,5,25,46,16
10,4,6.43775,6,36,44,16
10,5,6.52209,7,49,43,16
10,6,6.61338,8,64,34,16
10,7,6.73934,9,81,40,16
11,1,6.65801,24,576,47,12
11,2,6.72623,25,625,48,12
11,3,6.80239,26,676,45,12
11,4,6.90776,27,729,45,12
11,5,7.03966,28,784,47,12
11,6,7.12769,29,841,17,12
11,7,7.24423,30,900,47,12
12,1,6.55108,21,441,47,12
12,2,6.62936,22,484,46,12
12,3,6.72263,23,529,47,12
12,4,6.7334,24,576,47,12
12,5,6.72263,25,625,47,12
12,6,6.95177,26,676,47,12
12,7,7.05272,27,729,46,12
13,1,6.90575,26,676,48,12
13,2,6.90073,27,729,48,12
13,3,7.17012,28,784,50,12
13,4,7.26543,29,841,48,12
13,5,7.25912,30,900,48,12
13,6,7.25488,31,961,46,12
13,7,7.40001,32,1024,46,12
14,1,6.80239,15,225,45,17
14,2,6.80239,16,256,45,17
14,3,6.9256,17,289,45,17
14,4,7.00307,18,324,44,17
14,5,7.1309,19,361,44,17
14,6,7.12448,20,400,44,17
14,7,7.12287,21,441,44,17
15,1,5.94017,9,81,50,14
15,2,5.86079,10,100,46,14
15,3,5.99894,11,121,48,14
15,4,6.0845,12,144,46,14
15,5,6.39526,13,169,48,14
15,6,6.47697,14,196,41,14
15,7,6.47697,15,225,48,14
16,1,5.97889,16,256,50,12
16,2,5.78383,17,289,50,12
16,3,5.85793,18,324,48,12
16,4,5.95324,19,361,48,12
16,5,6.14633,20,400,50,12
16,6,6.17587,21,441,50,12
16,7,6.38856,22,484,49,12
17,1,6.62007,16,256,49,14
17,2,6.49224,17,289,48,14
17,3,6.77992,18,324,49,14
17,4,6.74524,19,361,50,14
17,5,7.09008,20,400,51,14
17,6,7.1309,21,441,46,14
17,7,7.1309,22,484,47,14
18,1,6.90575,25,625,47,16
18,2,6.90575,26,676,46,16
18,3,7.6009,27,729,47,16
18,4,7.64969,28,784,47,16
18,5,7.71869,29,841,47,16
18,6,7.78322,30,900,48,16
18,7,7.80384,31,961,47,16
19,1,6.38688,40,1600,37,12
19,2,6.47389,41,1681,49,12
19,3,6.54247,42,1764,50,12
19,4,6.67582,43,1849,47,12
19,5,6.7417,44,1936,47,12
19,6,6.83195,45,2025,25,12
19,7,6.93634,46,2116,40,12
20,1,6.78333,25,625,50,16
20,2,6.85751,26,676,49,16
20,3,6.98472,27,729,49,16
20,4,7.0579,28,784,48,16
20,5,7.20564,29,841,48,16
20,6,7.10988,30,900,49,16
20,7,7.26683,31,961,48,16
21,1,6.05912,28,784,42,4
21,2,6.05209,29,841,46,4
21,3,5.99146,30,900,49,4
21,4,6.21461,31,961,49,4
21,5,6.32436,32,1024,48,4
21,6,6.44254,33,1089,45,4
21,7,6.44254,34,1156,42,4
22,1,6.59987,20,400,46,14
22,2,6.59987,21,441,45,14
22,3,6.68461,22,484,44,14
22,4,6.72743,23,529,46,14
22,5,6.88244,24,576,47,14
22,6,6.95655,25,625,51,14
22,7,7.04752,26,676,47,14
23,1,6.90575,11,121,50,16
23,2,6.90575,12,144,50,16
23,3,7.49554,13,169,51,16
23,4,7.66153,14,196,50,16
23,5,7.86327,15,225,48,16
23,6,8.03916,16,256,47,16
23,7,7.89357,17,289,50,16
24,1,5.43808,5,25,30,12
24,2,5.52146,6,36,51,12
24,3,5.57973,7,49,51,12
24,4,5.66988,8,64,52,12
24,5,5.73657,9,81,49,12
24,6,5.84354,10,100,51,12
24,7,5.85793,11,121,50,12
25,1,6.52942,8,64,37,17
25,2,6.57925,9,81,39,17
25,3,6.71538,10,100,40,17
25,4,6.68461,11,121,38,17
25,5,6.79122,12,144,38,17
25,6,6.97541,13,169,39,17
25,7,6.90776,14,196,41,17
26,1,6.47697,14,196,48,15
26,2,6.55108,15,225,47,15
26,3,6.86693,16,256,49,15
26,4,6.85646,17,289,48,15
26,5,7.27932,18,324,47,15
26,6,7.54961,19,361,47,15
26,7,7.36708,20,400,48,15
27,1,6.01616,8,64,50,16
27,2,6.90575,9,81,52,16
27,3,7.04752,10,100,48,16
27,4,7.26193,11,121,50,16
27,5,7.09008,12,144,50,16
27,6,6.96319,13,169,45,16
27,7,7.31322,14,196,23,16
28,1,6.7334,26,676,50,12
28,2,6.69703,27,729,50,12
28,3,6.68461,28,784,50,12
28,4,6.74524,29,841,50,12
28,5,6.73102,30,900,50,12
28,6,6.80239,31,961,49,12
28,7,6.74524,32,1024,49,12
29,1,6.90575,31,961,49,14
29,2,6.90575,32,1024,49,14
29,3,7.06219,33,1089,49,14
29,4,7.57558,34,1156,49,14
29,5,7.67322,35,1225,50,14
29,6,7.47307,36,1296,49,14
29,7,7.56008,37,1369,49,14
30,1,6.19644,17,289,47,12
30,2,6.29895,18,324,47,12
30,3,6.3315,19,361,48,12
30,4,6.36303,20,400,49,12
30,5,6.48158,21,441,49,12
30,6,6.57786,22,484,45,12
30,7,6.64379,23,529,49,12
31,1,6.90575,22,484,48,17
31,2,6.90575,23,529,48,17
31,3,7.31322,24,576,48,17
31,4,7.24423,25,625,47,17
31,5,7.48437,26,676,43,17
31,6,7.54961,27,729,47,17
31,7,7.61332,28,784,45,17
32,1,6.90575,30,900,50,16
32,2,6.90575,31,961,49,16
32,3,7.46737,32,1024,49,16
32,4,7.40853,33,1089,48,16
32,5,7.60589,34,1156,49,16
32,6,8.04879,35,1225,47,16
